vedette	inversée	étymologie avec grec
céphalapagotome	emotogapalahpéc	de κεφαλή, tête, άπάγω, je tire au dehors, et τε'μνω, je coupe
céphalartique	euqitralahpéc	mot mal fait de κεφαλή, tête, et άρτίζειν, rendre sain
céphalée	eélahpéc	de κεφαλή, tête
céphalématome	emotamélahpéc	de κεφαλή, tête, et αίματοϋν, ensanglanter; ecchymoma, cephalophyma capitis, tumor sanguineus seu thrombus neonatorum, abcessus capitis sanguineus
céphalique	euqilahpéc	de κεφαλή, tête
céphalite	etilahpéc	de κεφαλή, tête, avec la terminaison ite, qui indique une phlegmasie
céphalocystes	setsycolahpéc	de κεφαλή, tête, et κύστις, vessie
céphalode	edolahpéc	de κεφαλή, tête, et είδες, forme
céphalographie	eihpargolahpéc	de κεφαλή, tête, et γραφή, description
céphaloïde	edïolahpéc	de κεφαλή, tête, et είδες, forme
céphalologie	eigololahpéc	de κεφαλή, tête, et λόγες, discours
céphalomèle	elèmolahpéc	de κεφαλή, tête, et ρ.ε'λες, membre
céphalomètre	ertèmolahpéc	de κεφαλή, tête, et ρΑτρον, mesure 
céphalopage	egapolahpéc	de κεφαλή, tête, et παγείς, uni
céphalo-pharyngien	neignyrahp-olahpéc	qui appartient à la tête, κεφαλή, et au pharynx, φάρυγξ
céphalopodes	sedopolahpéc	de κεφαλή, tête, είπους, πεδές, pied
céphalote	etolahpéc	de κεφαλή, tête; cire cérébrale, cérencéphalote
céphalothlasie	eisalhtolahpéc	de κεφαλή, tête, et θλα'ω, écraser
céphalothlibe	ebilhtolahpéc	de κεφαλή, tête, et θλίβειν, écraser
céphalothorax	xarohtolahpéc	de κεφαλή, tête, et thorax
céphalotomie	eimotolahpéc	de κεφαλή, tête, et τομή, section
céphalotribe	ebirtolahpéc	de κεφαλή, tête,etTfiêœ, je broie
céphaluroïde	edïorulahpéc	tête, cùpà, queue, et είδος, forme
cérat	taréc	de κηρός, cire
cératocone	enocotaréc	de κε'ρας, corne, et κώνος, cône
cercose	esocrec	de κερκός, queue
cérébrosclérose	esorélcsorbéréc	mot hybride, de cerebrum, cerveau, et σκληρός, dur;
cérébroscopie	eipocsorbéréc	de cerebrum, cerveau, et σκοπεΐν, examiner
céréléon	noéléréc	de κηρός, cire, et ελαιον, huile
cérencéphalote	etolahpécneréc	de κηρός, cire, et Ιγ.ίφαλος, encéphale
cérion	noiréc	de κηρίον, cellule
céroène	enèoréc	du mot bas latin ceroneum, fait de κηρός, cire
céroplastique	euqitsalporéc	de κηρός, cire, et πλάσσει, façonner
cestoïde	edïotsec	de ζεστός, festonné, qui ressemble à un feston 
cétacés	sécatéc	deκήτος, baleine;
cétine	enitéc	de cete, ou κήτος, baleine
chalasie	eisalahc	de χαλάω, je relâche : relâchement; on écrit aussi chalazie, ce qui est vicieux
chalastodermie	eimredotsalahc	de χαλαστός, relâché, et ίέρμα, peau
chalaze	ezalahc	de χάλαζα, grêle 
chalazonéphrite	etirhpénozalahc	de χάλαζα, grêle, et νεφρϊτις, néphrite
chalicophore	erohpocilahc	de χάλιξ, petit caillou, et φε'ρειν, porter, ou γεννάν, engendrer
chamæléon	noélæmahc	de χαμαί, à terre, et λέων, lion : petit lion
chambre	erbmahc	du grec καμάρα, voûte ;
chéloïde	edïoléhc	de χηλή, pince d’écrevisse, et εΤίος, ressemblance
chéloniens	sneinoléhc	de χελώνη, tortue
chétognathe	ehtangotéhc	άβχαίτη, crinière, et γνάθος, mâchoire
chétopodes	sedopotéhc	de χαίτη, crinière, et ποΰς, pied
cheylète	etèlyehc	Latreille , 1798, χέω, χε'ομαι, être répandu, et ύλη, forêt
chiastre	ertsaihc	de χιάζεις, croiser
chilalgie	eiglalihc	de χείλος, lèvre, et άλγείν, souffrir
chilocace	ecacolihc	de χείλος, lèvre, et κακός, mauvais
chilodiéresie	eiseréidolihc	de χείλος, lèvre, et ίιαφεσις, séparation
chilon	nolihc	de χείλος, lèvre
chiloplastie	eitsalpolihc	de χείλος, lèvre, et πλάσσειν, former
chilostomatoplastie	eitsalpotamotsolihc	de χείλος, lèvre, στόμα, bouche, et πλάσσειν, former
chimiatre	ertaimihc	de χυμία et χημία, chimie, et ιατρός, médecin
chimie	eimihc	orthographe de beaucoup d’auteurs anciens et de quelques modernes, χυμία: d’après cette orthographe, χυμία serait l’équivalent de χυμικη τέχνη, art relatif aux sucs de •χυμός, suc ; au contraire, l’orthographe chimie dérive, par iotacisme, de χημεία (en latin, chemia), mot d’origine obscure, et qu’on tire d’un nom porté par l’Égypte (Cham) ;
chiragre	ergarihc	de χειρ, main, et άγρα, capture
chirarthrocace	ecacorhtrarihc	de 'χειρ, main, apôpcv, articulation, et κακός, mauvais
chiropodalogie	eigoladoporihc	de χειρ, main, πεϋς, πεδες, pied, et άλογες, déraisonnable, absurde
chiroptères	serètporihc	de χειρ, main, et πτερος, aile
chirurgie	eigrurihc	de χειρ, main, et εργεν, travail : travail de la main 
chitine	enitihc	de χιτών, tunique
chloranthie	eihtnarolhc	de χλωρός, verdâtre, et άνθος, fleur
chlorodyne	enydorolhc	de chloroforme, et οδύνη, douleur
chloroma	amorolhc	de χλωρός, vert
chloromètre	ertèmorolhc	dénomination formée du mot chlore, et de μίτρες, mesure 
chlorophylle	ellyhporolhc	de χλωρός, vert, et φύλλου, feuille
chlorose	esorolhc	de χλωοός, vert, ou qui tire sur le vert 
choanoïde	edïonaohc	de χόανον, entonnoir, et εΆος, forme
chœromyces	secymorœhc	de χοίρος, cochon, βΐμύκης, champignon
cholagogue	eugogalohc	de χολή, bile, et άγω, je chasse
choléchroïne	enïorhcélohc	de χολή, bile, et χρόω, je teins
cholécyste	etsycélohc	de χολή, bile, et κύστις, vessie
cholécystectasie	eisatcetsycélohc	de χολή, bile, κύστις vessie, et εκτασις, dilatation
cholécystite	etitsycélohc	de χολή, bile, et κύστις, vessie
cholédoque	euqodélohc	de χολή, bile, et δοχος, qui contient, qui reçoit
cholélithe	ehtilélohc	de χολή, bile, et λίθος, pierre
cholelithiase	esaihtilelohc	de χολή, bile, et λιθίασις, lithiase
cholémèse	esèmélohc	de χολή, bile, et εμεΐν, vomir
cholémie	eimélohc	de χολή, bile, et αψ.α, sang
cholépoèse	esèopélohc	de-χολή, bile et ποιεϊν, faire
cholépyre	erypélohc	de χολή, bile, et π5ρ, fièvre
cholépyrrhine	enihrrypélohc	de χολή, bile, et πορόός, rouge
choléra	arélohc	choléra, proprement gouttière, à cause que les évacuations coulent comme par une gouttière, et non de χολή, bile, et ρεΝ, couler, ce à quoi la formation du mot s’oppose;
cholérique	euqirélohc	de χολέρα
cholérique2	euqirélohc	du lat. choiera, bile, qui vient, par une fausse interprétation de χολέρα, choléra
cholerrhagie	eigahrrelohc	de χολή, bile, et l’inusité ραγία, éruption
cholesteatome	emotaetselohc	de χολή, hile, et σ-έαρ, στέατος, suif, matière grasse
cholestérémie	eimérétselohc	de Cholesterine, et αίμα, sang
cholestérine	enirétselohc	de χολή, bile, et de στερος, solide (Chevreul)
choloïdique	euqidïolohc	de χολοει^ήΐ ressemblant à la bile
cholostegnose	esongetsolohc	de χολή, bile, et στέγνωσις, resserrement
chondrine	enirdnohc	de χόνδρος, cartilage
chondrite	etirdnohc	de χόνδρος, cartilage, et de la terminaison ite, qui indique une phlegmasie
chondrocèle	elècordnohc	de χόνδρος, cartilage, et κήλη, tumeur
chondrogenèse	esènegordnohc	de χόνδρος, cartilage, et γε'νεσις, génération
chondroglosse	essolgordnohc	de χόνδρος, cartilage, et γλώσσα, la langue
chondrographie	eihpargordnohc	de χόνδρος, cartilage, et γραφή, description
chondroïde	edïordnohc	de χόνδρος, cartilage, et είδος, forme
chondrologie	eigolordnohc	de -χόνδρος, cartilage, et λόγος, discours
chondromalacie	eicalamordnohc	de χόνδρος, cartilage, et μαλακός, mou
chondrome	emordnohc	de -χόνδρος, cartilage
chondroplaste	etsalpordnohc	de χόνδρος, cartilage, et πλάστης, formateur
chondroptérygiens	sneigyrétpordnohc	de -χόνδρος, cartilage, et πτερύγων, petite aile
chondrostéen	neétsordnohc	de χόνδρος, cartilage, et όστεον, os
chondrotomie	eimotordnohc	de χόνδρος, cartilage, et τομή, section
chordapse	espadrohc	de χορδή, intestin
chorée	eérohc	de χορεία, danse  ; chorea, choreomania, scelotyrbe
chorise	esirohc	de χωοίζέιν, séparer
choristosporées	seéropsotsirohc	de χωριστός, séparé, et spore
choroïde	edïorohc	de χό'ρόν, le chorion, et de είίος, forme, ressemblance
chroïcolyte	etylocïorhc	de χρωίζεις, colorer, et λυτός, soluble
chromatie	eitamorhc	de χρώμα, couleur 
chromatodysopsie	eisposydotamorhc	de χρώμα, couleur, ίός, difficile, et όψις, vue
chromatogène	enègotamorhc	de χρώμα, couleur, et γεννάν, engendrer
chromatométablepsie	eispelbatémotamorhc	de χρώμα, couleur, μετά, mal, et βλέπεw, voir
chromatophore	erohpotamorhc	de χρώμα, couleur, et φορός, qui porte
chromatopseudopsie	eispoduespotamorhc	de χρώμα, couleur, ψεϋίος, faux, et o$tç vue
chromaturie	eirutamorhc	de χρώμα, couleur, et ούρον, urine
chrome	emorhc	de χρώμα, couleur
chromidrose	esordimorhc	de χρώμα, couleur, et ίίρώς, sueur
chromite	etimorhc	de χρώμα, couleur
chromopsie	eispomorhc	de χρώμα, couleur, et οψις, vue
chromule	elumorhc	de χρώμα, couleur
chronizoïque	euqïozinorhc	de χρονίζειν, durer
chronogynée	eénygonorhc	de χρόνος, temps, période, et de γυνή, femme
chrysalide	edilasyrhc	de χρυσές, or
chrysammique	euqimmasyrhc	de χρυσός, or, et άμμος, sable
chrysanilique	euqilinasyrhc	de χρυσός, or, ctanil
chryside	edisyrhc	de χρυσός, or
chrysides	sedisyrhc	de χρυσός, or
chrysocolle	ellocosyrhc	de χρυσός, or, et κόλλα, colle
chrysophanique	euqinahposyrhc	de χρυσός, or, et ©αίνε», briller
chrysulée	eélusyrhc	de χρυσός, or, et ύλίζεω, purifier
chyle	elyhc	de χυλός, suc
chylopoèse	esèopolyhc	de ypdhz, suc, chyle, et ποιεϊν, faire
chylurie	eirulyhc	de chyle, et ουρον, urine, dénomination tirée de l’apparence chyleuse que présente alors l’urine
chyme	emyhc	de χυαός, suc
chymophore	erohpomyhc	de '/pghz, suc, et φορος; qui porte
cidre	erdic	de σίκερα, qui signifie toute espèce de liqueur fermentée autre que le \m;pomaceum
cimetière	erèitemic	de κοιρ.7ΐηθιον, fieu de sommeil, de κοιτάω, je dors
cinèse	esènic	de κίνησις, mouvement
cinésie	eisénic	de κίνζσις , mouvement
cinésiologie	eigoloisénic	de κίνζσις, mouvement, et λογος, doctrine
cinésithérapie	eiparéhtisénic	de κίντ,σις, mouvement, et θεραπεία, traitement
cionite	etinoic	de ζίων, luette
cionorrhaphie	eihpahrronoic	de κίων, luette, et ραφή, suture
cionotome	emotonoic	de κίων, luette, et τομή, section
cirre	erric	de cirrus, boucle de cheveux, frange, huppe ; πλεκτάνη
cirrhonose	esonohrric	de κιρρος, jaune, et νοσος, maladie
cirrhose	esohrric	de κφρος, roux
cirsocèle	elècosric	de κιρσός, varice, et κηλη, tumeur
cirsoïde	edïosric	de κιρσός, varice, et ειίος, forme
cirsomphale	elahpmosric	de κιρσός, varice, et ùu-φαλός, nombril
cirsophthalmie	eimlahthposric	de κιρσός, varice, et οφθαλμός, œil
cirsotomie	eimotosric	de κιρσός, varice, et τομή, section
citerne	enretic	de κίστη, coffre, réservoir
citricique	euqicirtic	acide pyro-aconitique, itaconique, para-pyrocitronique ου para-citrique
cladode	edodalc	de κλάδος, rameau
clastique	euqitsalc	de κλάω, je brise
clathracés	sécarhtalc	de κλαθρον, cloison
clidarthrocace	ecacorhtradilc	de κλείς, clavicule, άρθρον, articulation, et κακός, mauvais
climat	tamilc	de κλίμα, région
climatérique	euqirétamilc	échelon de κλίμαξ, échelle, degré 
climatologie	eigolotamilc	de κλίμα, région, climat, βίλο'γος, discours 
clinandre	erdnanilc	de vJxrc,, lit, et άνήρ, mâle, étamine;
clinanthe	ehtnanilc	de κλίνη, lit, et . άνθος, fleur
clinique	euqinilc	de κλίνη, lit
clinoïde	edïonilc	de κλίνη, lit, et ειίος, forme : qui a de la ressemblance avec un lit
clisagre	ergasilc	de κλείς, clavicule, et άγρα, prise
cliséomètre	ertèmoésilc	de κλίσις, pente, inclinaison, et μετράν, mesure;
clonique	euqinolc	de κλονος, agitation, désordre
clopémanie	einamépolc	de κλοπή, vol, et μανία, manie
clostre	ertsolc	de κλώθε w, filer
clyso	osylc	deκλύζεw, laver;
clystère	erètsylc	de κλύζειν, laver
cnidose	esodinc	de κνίίή, ortie
coarctotomie	eimototcraoc	de coarctare, rétrécir, et τομή; section
coccinelle	elleniccoc	de κόκκος, graine d’écarlate
coccycéphale	elahpécyccoc	de κόζκυξ, coccyx, et κεφαλή, tête
coccygobynie	einybogyccoc	de κόκκυξ, coccyx, et όό'ύνη, douleur
coccyx	xyccoc	en grec κόζκυξ, qui proprement signifie coucou;
cocyte	etycoc	de ζωζυτος, pleurs, lamentation
codéine	eniédoc	de ζώίη, qui signifie la capsule du pavot
cœliaque	euqailœc	de κοιλία, ventre, intestin
cœloma	amolœc	de κοιλον, cavité
cœlophlébite	etibélhpolœc	de κοίλος, creux, et ÿ'dP veine
cœnadelphe	ehpledanœc	de κοινός, commun, et αδελφός, frère
cœnologie	eigolonœc	de κοινός, commun, et λόγος, discours
cœnure	erunœc	de κοινός, commun, etoûfà, queue 
coléine	eniéloc	de κολεός, enveloppe
coléocèle	elècoéloc	de κολεός, vagin, et κηλη, hernie
coléoptères	serètpoéloc	de κολεός, enveloppe, étui, et πτερό·/, aile
coléoptile	elitpoéloc	de κολεός, étui, et πτίλου, plumule; coleoptilis, coleophyllum
coléoptose	esotpoéloc	de κολεός, vagin, et πτώσις, chute
coléorrhexie	eixehrroéloc	de κολεός, vagin, et ρηξις, rupture
coléorrhize	ezihrroéloc	de κολεός, étui, et ρίζα, racine
coléostégnose	esongétsoéloc	de κολεός, vagin, et στέγνωσις, resserrement
colite	etiloc	de κώλον, le côlon
collenchyme	emyhcnelloc	de κολλά, colle, et έγχυμα, •chose injectée
collétique	euqitélloc	de κόλλα, colle
colliquatif	fitauqilloc	de colliquare, se fondre,· se résoudre en eau; συντακτικός
colliquation	noitauqilloc	de colliquare, se fondre, σύνταξις
colloïde	edïolloc	de ζολλα, colle, et είδος, forme
collonème	emènolloc	de κολλά, colle, et νήμα, tissu
colobome	emoboloc	de κολοβόω, je mutile 
colotomie	eimotoloc	de κώλον, et τομή, section 
colpeurynter	retnyrueploc	de κόλπος, vagin, et εΰρυντήρ, qui élargit
colpite	etiploc	de κόλπος, vagin
colpocèle	elècoploc	de κόλπος, vagin, et κήλη, hernie
colpoptose	esotpoploc	de κόλπος, vagin, et πτώσις, chute
colposténose	esonétsoploc	de κόλπος, vagin, et στενός, étroit
colpotomie	eimotoploc	de κόλπος, vagin, et τομή, incision
cométocore	erocotémoc	de comète, et κόρη, pupille
